Levels per mode: {"GiantBears": 3865, "Honey": 3715, "FloatingNutsMode": 3309, "Chocolate": 1513, "BubbleGum": 1556, "PaintBattleMode": 3790, "SodaToTheBrim": 1459, "Path": 903}

code | total_occ | mode distribution (levels_with_code/occurrences)
  52 |   12457 | PaintBattleMode:677/4664, GiantBears:470/2557, Honey:329/1661, Chocolate:257/1151, FloatingNutsMode:161/967, Path:227/894, SodaToTheBrim:61/399, BubbleGum:32/164
  53 |   17083 | PaintBattleMode:893/6006, GiantBears:692/3860, Honey:460/2168, Chocolate:376/1765, Path:296/1476, FloatingNutsMode:222/1123, SodaToTheBrim:88/500, BubbleGum:41/185
  54 |   20369 | PaintBattleMode:1025/6879, GiantBears:826/5289, Honey:537/2668, Path:340/1909, Chocolate:403/1788, FloatingNutsMode:234/1169, SodaToTheBrim:84/416, BubbleGum:48/251
  55 |   18987 | PaintBattleMode:992/6675, GiantBears:804/5436, Honey:410/1907, Path:350/1872, Chocolate:308/1341, FloatingNutsMode:218/1258, SodaToTheBrim:71/347, BubbleGum:35/151
  56 |    7947 | PaintBattleMode:621/3073, GiantBears:495/2387, Path:239/893, Honey:194/624, FloatingNutsMode:113/473, Chocolate:122/327, SodaToTheBrim:27/122, BubbleGum:13/48
 101 |   58339 | FloatingNutsMode:2465/22532, Honey:1166/9620, PaintBattleMode:1130/8910, GiantBears:1079/7838, SodaToTheBrim:515/3236, BubbleGum:438/3234, Chocolate:346/2274, Path:127/695
 103 |   52889 | FloatingNutsMode:3118/29614, SodaToTheBrim:1421/15629, PaintBattleMode:337/2056, Honey:313/1981, GiantBears:367/1966, BubbleGum:116/673, Chocolate:113/645, Path:64/325
 104 |  255848 | Honey:3647/55477, PaintBattleMode:3724/54221, GiantBears:3759/46857, FloatingNutsMode:3130/31753, Chocolate:1490/21185, BubbleGum:1528/19078, SodaToTheBrim:1433/15733, Path:892/11544
 105 |   12728 | FloatingNutsMode:1205/4470, GiantBears:386/1790, Honey:324/1731, PaintBattleMode:349/1713, SodaToTheBrim:391/1473, Chocolate:128/695, BubbleGum:135/656, Path:48/200
 106 |   14034 | FloatingNutsMode:1291/4634, Honey:415/2347, PaintBattleMode:404/2014, GiantBears:399/1746, SodaToTheBrim:380/1460, Chocolate:169/1014, BubbleGum:135/681, Path:33/138
 164 |   15591 | Honey:2244/15591
 165 |   97224 | Honey:3713/97224
 200 |    4083 | GiantBears:257/4083
 201 |  251880 | GiantBears:3860/251817, Honey:1/63
 211 |   32460 | GiantBears:3634/32460
 212 |    6415 | GiantBears:2624/6415
 213 |     992 | GiantBears:742/992
 214 |   18597 | GiantBears:3127/18597
 215 |    3540 | GiantBears:1663/3540
 216 |     434 | GiantBears:318/434
 270 |   42874 | BubbleGum:1509/42874
 271 |   12074 | BubbleGum:1157/12074
 300 |   13245 | PaintBattleMode:3790/13245
 320 |   45999 | FloatingNutsMode:2970/40501, SodaToTheBrim:1156/5498
 340 |   33756 | FloatingNutsMode:2875/23328, SodaToTheBrim:1366/10428
 360 |   16306 | FloatingNutsMode:3309/16306
 361 |   33793 | FloatingNutsMode:3309/33793
 410 |    9726 | PaintBattleMode:367/2170, FloatingNutsMode:388/1909, Honey:317/1712, GiantBears:276/1605, SodaToTheBrim:195/965, Chocolate:155/726, BubbleGum:95/530, Path:22/109
 411 |    7605 | PaintBattleMode:353/1889, GiantBears:297/1729, FloatingNutsMode:295/1416, Honey:194/1104, SodaToTheBrim:175/854, BubbleGum:91/492, Path:16/97, Chocolate:8/24
 412 |    3349 | PaintBattleMode:164/930, GiantBears:172/860, FloatingNutsMode:150/654, SodaToTheBrim:77/383, BubbleGum:53/278, Honey:35/202, Path:5/26, Chocolate:7/16
 413 |    6848 | PaintBattleMode:263/1508, GiantBears:258/1462, Honey:230/1286, FloatingNutsMode:276/1148, SodaToTheBrim:127/504, Chocolate:95/430, BubbleGum:74/408, Path:18/102
 414 |    5399 | FloatingNutsMode:252/1135, Honey:193/1046, GiantBears:178/1006, PaintBattleMode:147/804, SodaToTheBrim:111/548, Chocolate:108/484, BubbleGum:67/340, Path:9/36
 415 |    3364 | Honey:163/964, GiantBears:135/896, Chocolate:89/436, FloatingNutsMode:89/392, SodaToTheBrim:65/300, BubbleGum:33/197, PaintBattleMode:28/139, Path:6/40
 416 |    2072 | PaintBattleMode:73/458, FloatingNutsMode:77/366, GiantBears:53/355, SodaToTheBrim:60/300, Honey:47/245, BubbleGum:28/175, Chocolate:38/173
 417 |    1195 | Honey:36/335, GiantBears:43/311, PaintBattleMode:29/225, BubbleGum:18/133, FloatingNutsMode:13/119, Chocolate:3/32, SodaToTheBrim:4/22, Path:3/18
